bereich,bereich_ordner,inhaltsfeld,inhaltsfeld_ordner,thema,themenordner,status,hauptquelle
Klasse 5,klasse-5,Arithmetik/Algebra,01-arithmetik-algebra,"Natürliche Zahlen, Stellenwerttafel, Zahlenstrahl, Wortform",01-natuerliche-zahlen-und-stellenwert,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Arithmetik/Algebra,01-arithmetik-algebra,"Grundrechenarten mit natürlichen Zahlen; Kommutativ-, Assoziativ- und Distributivgesetz",02-grundrechenarten-und-rechengesetze,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Arithmetik/Algebra,01-arithmetik-algebra,"Länge, Zeit, Geld, Masse sowie erste Flächen- und Volumeneinheiten",03-groessen-und-einheiten,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Arithmetik/Algebra,01-arithmetik-algebra,"Anteile, Bruchteile von Größen, Bruchdarstellungen und Grundvorstellungen",04-brueche-als-anteile,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Funktionen,02-funktionen,Zusammenhänge in Tabellen und Diagrammen; einfache Zuordnungen,01-tabellen-diagramme-und-zuordnungen,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Funktionen,02-funktionen,"Maßstab, Modellieren, Schätzen und Fermi-Aufgaben",02-massstab-modellieren-und-fermi-aufgaben,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Geometrie,03-geometrie,"Punkte, Strecken, Geraden, Grundfiguren, Koordinatensystem, Symmetrie",01-grundfiguren-koordinatensystem-und-symmetrie,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Geometrie,03-geometrie,"Lagebeziehungen, Winkel messen und zeichnen",02-parallel-senkrecht-und-winkel,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Geometrie,03-geometrie,Umfang und Flächeninhalt von Rechteck und Quadrat; Zerlegen und Ergänzen,03-umfang-und-flaecheninhalt,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Stochastik,04-stochastik,Daten erheben; absolute Häufigkeiten; Tabellen und Diagramme,01-daten-erheben-haeufigkeiten-und-diagramme,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
Klasse 5,klasse-5,Stochastik,04-stochastik,Arithmetisches Mittel und Median als einfache Kennwerte,02-lagekennwerte-einstieg,KLP-Inhaltsfeld + vorbereitende Jahrgangszuordnung,https://lehrplannavigator.nrw.de/system/files/media/document/file/g9_m_klp_3401_2019_06_23_0.pdf
